ogc_fid,molen_dbnr,ten_brugge,molen_naam,bouwjaar_1,bouwjaar_2,verdwenen1,verdwenen2,status,type,functie,aandrijvin,infolink,hoofdcat,numeriek
16913,14613,06902 n,Zusterpolder (1e),1500,,1617,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 n,poldermolen,1
16914,8633,06902 o,"Veenpolder, Oude Veenmolen (1e)",1446,,1697,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 o,poldermolen,1
16915,8634,06902 p,Binckhorstpolder,1461,,1621,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 p,poldermolen,1
16916,1954,06902 q,Grote-Eskampmolen,1687,,1877,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 q,poldermolen,1
16918,5296,06902 s,(standerdmolen),1595,,1720,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 s,industriemolen,2
16919,8611,06902 t,"Driemanspolder, plasmolen/ <br>bovenmolen zuidelijke viergang",0,onbekend,1679,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 t,poldermolen,1
16920,8246,06902 u,"Driemanspolder, zuidelijke bovenmolen (2e)",1682,,1877,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 u,poldermolen,1
16921,8610,06902 v,"Driemanspolder, bovenmolen noordelijke viergang",1672,,1688,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 v,poldermolen,1
16922,4272,06902 w,"Driemanspolder, noordelijke ondermolen",1672,,1902,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 w,poldermolen,1
16923,14670,06902 x,"Polder Hardinxveld, deel Beneden, Spindersmolen <i>voorganger</i>",1624,,1773,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 x,poldermolen,1
16924,5269,06902 y,Boezemmolen van de Overwaard,1594,,1739,,verdwenen,wipmolen,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 y,industriemolen,2
16925,3963,06902 z,"Polder Schieveen, Bovenmolen/ Schieveense Wipmolen",1611,,1853,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06902 z,poldermolen,1
16926,3104,06903 a,Boterpolder/ Butterpolder,1687,,1815,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 a,poldermolen,1
16927,8666,06903 b,Schaapweidemolen (2e),1601,,1825,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 b,poldermolen,1
16928,5306,06903 c,Molen De Baat <i>voorganger</i>,1832,,1893,,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 c,industriemolen,2
16929,4194,06903 d,Het Vliegend Hert  <i>1e voorganger</i>,1841,,1841,,verdwenen,wipmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 d,industriemolen,2
16930,14671,06903 e,Het Vliegend Hert  <i>2e voorganger</i>,1856,,1857,,verdwenen,onbekend,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 e,industriemolen,2
16931,8670,06903 f,"Sluispolder, Wippersmolen <i>voorganger</i>",0,onbekend,1726,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 f,poldermolen,1
16932,5666,06903 g,"Boezem van de Zederik, bovenmolen nr.1 (1566)",1566,,1672,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 g,industriemolen,2
16933,6730,06903 h,"Boezem van de Zederik, bovenmolen nr.2 (1566)",1566,,1672,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 h,industriemolen,2
16934,6731,06903 i,"Boezem van de Zederik, bovenmolen nr.3 (1566)",1566,,1672,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 i,industriemolen,2
16935,6732,06903 j,"Boezem van de Zederik, bovenmolen nr.4 (1566)",1566,,1672,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 j,industriemolen,2
16936,6733,06903 k,"Boezem van de Zederik, bovenmolen nr.5 (1566)",1566,,1672,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 k,industriemolen,2
16937,6734,06903 l,"Boezem van de Zederik, bovenmolen nr.6 (1566)",1566,,1635,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 l,industriemolen,2
16938,7079,06903 m,"Boezem van de Zederik, bovenmolen nr.1 (1740)",1740,,1828,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 m,industriemolen,2
16939,7080,06903 n,"Boezem van de Zederik, bovenmolen nr.2 (1740)",1740,,1828,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 n,industriemolen,2
16940,7081,06903 o,"Boezem van de Zederik, bovenmolen nr.3 (1740)",1740,,1828,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 o,industriemolen,2
16941,7082,06903 p,"Boezem van de Zederik, bovenmolen nr.4 (1740)",1740,,1828,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 p,industriemolen,2
16942,7083,06903 q,"Boezem van de Zederik, bovenmolen nr. 5 (1740)",1740,,1828,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 q,industriemolen,2
16943,7085,06903 r,"Boezem van de Zederik, molen nr.2 binnendijks",1763,,1826,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 r,industriemolen,2
16944,7086,06903 s,"Boezem van de Zederik, molen nr.3 binnendijks",1763,,1802,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 s,industriemolen,2
16945,7087,06903 t,"Boezem van de Zederik, molen nr.4 binnendijks",1763,,1814,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 t,industriemolen,2
16946,7089,06903 u,"Boezem van de Zederik, molen nr.5 binnendijks",1763,,1826,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 u,industriemolen,2
16947,7090,06903 v,"Boezem van de Zederik, molen nr.6 binnendijks",1763,,1826,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 v,industriemolen,2
16948,7091,06903 w,"Boezem van de Zederik, molen nr.7 binnendijks",1763,,1826,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 w,industriemolen,2
16949,7092,06903 x,"Boezem van de Zederik, molen nr.8 binnendijks",1763,,1826,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 x,industriemolen,2
16950,4232,06903 y,"Polder Achthoven/ De Baakmolen<br>Boezem van de Zederik, molen nr.1 binnendijks",1500,,1826,,verdwenen,wipmolen,"poldermolen, vanaf 1763 boezemmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 y,poldermolen,1
16951,8239,06903 z,Molen van Herkingen,1544,,1754,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06903 z,industriemolen,2
16952,7373,06904 a,Korenmolen van Rockanje (1e),1388,,1486,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 a,industriemolen,2
16953,14672,06904 b,Korenmolen van Rockanje (2e),1486,,1511,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 b,industriemolen,2
16954,14673,06904 c,Korenmolen van Rockanje (3e),1511,,1532,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 c,industriemolen,2
16955,14674,06904 d,Korenmolen van Rockanje (4e),1533,,1558,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 d,industriemolen,2
16956,14675,06904 e,Korenmolen van Rockanje (5e),1559,,1627,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 e,industriemolen,2
16957,14676,06904 f,Korenmolen van Rockanje (6e),1628,,1717,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 f,industriemolen,2
16958,8704,06904 g,Zwanburgerpolder (1e),1595,,1805,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 g,poldermolen,1
16960,4542,06904 i,Gasthuijsmolen/ Bordeelmolen/ Het Bordeeltje,1540,,1679,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 i,industriemolen,2
16961,5844,06904 j,"De Jonge Ernst, later De Eendracht",1781,,1846,,verdwenen,stellingmolen,zaagmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 j,industriemolen,2
16962,2300,06904 k,Helmolen/ Witmolen,1495,of eerder,1774,,verdwenen,standerdmolen,"korenmolen, later volmolen en witmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 k,industriemolen,2
16963,2916,06904 l,Zeldenrust/ Langendijk,1656,,1860,,verdwenen,stellingmolen,"trasmolen, verfmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 l,industriemolen,2
16964,2912,06904 m,De Oostmolen (2e),1700,,1758,,verdwenen,stellingmolen,"korenmolen, moutmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 m,industriemolen,2
16967,4615,06904 o,"Zwarte Polder/ Klein Uithofspolder, De Zwarte Poldermolen",1652,,1879,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 o,poldermolen,1
16968,8072,06904 q,"Polder Reeuwijk, 2e molen",1544,,1753,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 q,poldermolen,1
16969,8071,06904 r,"Polder Reeuwijk, 3e molen",1544,,1658,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 r,poldermolen,1
16970,8073,06904 s,"Polder Reeuwijk, 1e molen",1544,,1608,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 s,poldermolen,1
16971,5576,06904 t,Het Bosch/ Het Bosch in het Anker/ Het Anker/ De Vriendschap,1695,,1899,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 t,industriemolen,2
16972,14679,06904 u,Molen van Sint Anthonis (1e),1656,,1799,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 u,industriemolen,2
16973,12676,06904 v,Polder Johannisse Land/ Het Landeke,1718,,1901,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 v,poldermolen,1
16974,7604,06904 w,"Bildtpoortsmolen, 2e standplaats",1626,,1858,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 w,industriemolen,2
16975,7726,06904 x,Noorderooster mollen / Franekerpoorts molen,1566,,1683,,verdwenen,standerdmolen,"oliemolen, later korenmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 x,industriemolen,2
16976,7690,06904 y,Korenmolen bij het Blauwhuis,1572,,1671,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 y,industriemolen,2
16977,7691,06904 z,Zuiderpoortsmolen/ Zuidermolen,1598,,1852,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06904 z,industriemolen,2
16978,4644,06905 a,De Leeuw,1852,,1898,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 a,industriemolen,2
16979,7692,06905 b,Rapenburgermolen / Nieuwe molen,1608,,1729,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 b,industriemolen,2
16980,7664,06905 c,De Leeuw,1845,,1852,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 c,industriemolen,2
16981,7665,06905 d,De Hoop,1714,,1802,,verdwenen,onbekend,zaagmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 d,industriemolen,2
16982,5851,06905 e,Het Lam (voorganger),1595,,1791,,verdwenen,standerdmolen,"grutmolen, roggemolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 e,industriemolen,2
16983,4015,06905 f,Het Lam,1791,,1830,,verdwenen,stellingmolen,"korenmolen, boekweitmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 f,industriemolen,2
16984,10485,06905 g,Kleijne Weijdmolen,1621,,1752,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 g,industriemolen,2
16985,14680,06905 h,De Leeuw <i>voorganger</i>,1622,,1689,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 h,industriemolen,2
16986,8493,06905 i,De Jonge Fenix <i>voorganger</i>,1642,,1752,,verdwenen,onbekend,oliemolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=06905 i,industriemolen,2
